,P1_lpo_loRa,P1_ratio_loRa,P1_conc_loRa,P2_lpo_loRa,P2_ratio_loRa,P2_conc_loRa,Temperature_loRa,Pressure_loRa,Humidity_loRa
1138,0,0.0,0.62,84357,0.56,292.05,25.84,98432,38
1486,0,0.0,0.62,197271,1.32,680.42,23.44,98340,41
1376,0,0.0,0.62,18349,0.12,64.18,23.87,98367,44
67,0,0.0,0.62,55690,0.37,193.21,18.12,98896,79
1924,0,0.0,0.62,0,0.0,0.62,21.3,98148,47
572,0,0.0,0.62,104239,0.69,360.52,28.24,98791,27
706,0,0.0,0.62,0,0.0,0.62,29.28,98783,26
720,0,0.0,0.62,0,0.0,0.62,28.98,98785,29
1544,0,0.0,0.62,46587,0.31,161.79,23.23,98303,40
1385,233956,1.56,806.6,370287,2.47,1277.67,23.66,98367,45
1467,0,0.0,0.62,71435,0.48,247.52,23.6,98344,42
1052,0,0.0,0.62,39574,0.26,137.57,32.33,98420,23
1006,0,0.0,0.62,72330,0.48,250.6,32.57,98431,22
949,0,0.0,0.62,0,0.0,0.62,31.78,98501,21
1674,0,0.0,0.62,77488,0.52,268.38,22.28,98212,43
1694,0,0.0,0.62,0,0.0,0.62,22.32,98202,43
1647,0,0.0,0.62,28174,0.19,98.16,22.73,98243,42
1010,149621,1.0,516.62,415879,2.77,1436.57,32.38,98433,23
973,0,0.0,0.62,0,0.0,0.62,33.15,98452,22
479,0,0.0,0.62,32470,0.22,113.02,27.6,98791,37
936,0,0.0,0.62,0,0.0,0.62,31.82,98505,21
654,0,0.0,0.62,0,0.0,0.62,28.98,98779,28
1797,0,0.0,0.62,0,0.0,0.62,21.78,98166,46
2058,73639,0.49,255.12,162046,1.08,559.33,20.69,98121,52
1721,0,0.0,0.62,115500,0.77,399.27,22.55,98186,43
1320,0,0.0,0.62,0,0.0,0.62,24.28,98409,43
774,0,0.0,0.62,23386,0.16,81.6,26.34,98815,33
567,122421,0.82,423.08,350254,2.34,1208.12,28.12,98777,27
733,0,0.0,0.62,0,0.0,0.62,28.56,98788,29
694,0,0.0,0.62,0,0.0,0.62,29.02,98787,26
2032,0,0.0,0.62,0,0.0,0.62,20.74,98126,51
261,0,0.0,0.62,138697,0.92,479.06,17.18,98906,85
1861,0,0.0,0.62,0,0.0,0.62,21.5,98148,46
1285,0,0.0,0.62,19215,0.13,67.17,24.17,98423,43
240,68351,0.46,236.89,364442,2.43,1257.36,17.25,98908,85
1078,0,0.0,0.62,182683,1.22,630.27,26.38,98437,35
869,6133,0.04,21.87,437614,2.92,1512.65,24.52,98949,38
