,P1_lpo_loRa,P1_ratio_loRa,P1_conc_loRa,P2_lpo_loRa,P2_ratio_loRa,P2_conc_loRa,Temperature_loRa,Pressure_loRa,Humidity_loRa
167,0,0.0,0.62,115533,0.77,399.38,18.1,98901,80
353,0,0.0,0.62,129575,0.86,447.69,17.18,98910,83
204,21151,0.14,73.87,266536,1.78,918.78,17.63,98881,83
1444,0,0.0,0.62,111801,0.75,386.54,23.55,98342,42
1742,0,0.0,0.62,0,0.0,0.62,22.31,98182,44
1961,0,0.0,0.62,19867,0.13,69.43,20.79,98143,48
525,0,0.0,0.62,143418,0.96,495.29,27.78,98772,32
1810,91823,0.61,317.77,305516,2.04,1053.27,21.96,98153,46
164,0,0.0,0.62,64772,0.43,224.54,18.03,98910,80
227,94138,0.63,325.74,307520,2.05,1060.2,17.69,98892,83
795,0,0.0,0.62,0,0.0,0.62,26.16,98824,34
1114,88678,0.59,306.94,247966,1.65,854.82,26.43,98446,36
1851,0,0.0,0.62,0,0.0,0.62,21.53,98140,46
951,0,0.0,0.62,112056,0.75,387.42,32.7,98454,21
1580,0,0.0,0.62,10217,0.07,36.02,22.87,98276,42
536,0,0.0,0.62,0,0.0,0.62,27.59,98781,32
433,0,0.0,0.62,0,0.0,0.62,27.04,98887,43
1509,0,0.0,0.62,80152,0.53,277.56,23.18,98327,40
438,0,0.0,0.62,113493,0.76,392.36,27.27,98904,43
486,0,0.0,0.62,4314,0.03,15.57,27.59,98780,35
1552,0,0.0,0.62,95480,0.64,330.36,23.24,98303,40
1593,0,0.0,0.62,34199,0.23,118.99,22.83,98278,42
1031,192776,1.29,664.97,320143,2.13,1103.83,32.47,98422,22
817,0,0.0,0.62,0,0.0,0.62,25.75,98854,34
1420,0,0.0,0.62,22385,0.15,78.14,23.56,98353,43
1941,0,0.0,0.62,48986,0.33,170.07,21.05,98156,48
1871,170975,1.14,590.03,221935,1.48,765.24,21.37,98143,46
1556,40636,0.27,141.23,293888,1.96,1013.12,23.13,98299,40
