,dCnPalas
1138,271.336666666667
1486,279.81
1376,300.236666666667
67,190.163333333333
1924,226.393333333333
572,137.946666666667
706,103.373333333333
720,117.75
1544,236.563333333333
1385,297.476666666667
1467,286.703333333333
1052,167.13
1006,122.856666666667
949,116.635
1674,230.493333333333
1694,223.75
1647,234.796666666667
1010,124.943333333333
973,105.056666666667
479,188.99
936,129.723333333333
654,117.246666666667
1797,219.616666666667
2058,204.2
1721,213.246666666667
1320,306.896666666667
774,123.093333333333
567,140.11
733,128.776666666667
694,110.68
2032,209.993333333333
261,199.263333333333
1861,233.28
1285,318.553333333333
240,197.656666666667
1078,274.496666666667
869,146.22
736,133.76
1058,257.633333333333
1128,270.663333333333
585,133.976666666667
365,204.08
1948,224.943333333333
1286,318.41
1613,240.366666666667
782,125.55
819,133.65
1784,213.756666666667
71,190.223333333333
1823,232.373333333333
259,199.126666666667
51,190.023333333333
198,194.99
670,121.483333333333
692,111.833333333333
332,203.156666666667
1808,224.973333333333
630,132.396666666667
1645,235.23
1169,279.316666666667
1947,224.67
584,134.083333333333
1610,241.086666666667
942,121.43
744,131.406666666667
426,240.373333333333
1007,123.4
494,168.416666666667
1709,216.606666666667
1473,282.083333333333
1120,272.966666666667
343,203.58
701,105.423333333333
767,124.553333333333
398,204.463333333333
1009,124.26
462,198.113333333333
436,233.936666666667
192,194.653333333333
1491,273.706666666667
1988,222.463333333333
292,200.84
445,222.893333333333
1419,305.92
859,149.133333333333
807,134.98
1614,239.893333333333
999,120.236666666667
141,192.57
1198,278.606666666667
2,191.736666666667
979,109.733333333333
591,133.43
1944,224.663333333333
1481,283.216666666667
339,203.443333333333
674,119.746666666667
408,321.123333333333
1621,239.156666666667
265,199.563333333333
376,204.21
1370,302.466666666667
439,233.116666666667
271,199.92
244,197.91
581,134.83
1858,234.083333333333
1743,217.763333333333
1869,231.743333333333
415,271.106666666667
273,200.056666666667
2035,209.023333333333
250,198.296666666667
413,273.546666666667
1356,314.68
310,201.55
607,140.526666666667
2060,208.336666666667
425,241.303333333333
1949,225.12
1617,239.253333333333
1196,277.963333333333
1406,306.893333333333
1100,276.766666666667
1501,266.733333333333
583,134.143333333333
526,154.443333333333
1332,310.006666666667
787,128.036666666667
182,194.14
170,193.49
1803,219.27
1121,272.326666666667
1951,225.093333333333
1713,216.723333333333
909,155.743333333333
679,118.4
272,199.983333333333
1608,241.203333333333
1359,310.95
964,100.343333333333
371,204.16
222,196.396666666667
765,125.226666666667
596,137.28
1244,289.093333333333
518,151.203333333333
334,203.23
1342,312.276666666667
1211,283.77
1094,276.746666666667
1080,275.553333333333
15,191.333333333333
721,118.803333333333
1987,222.583333333333
1883,229.076666666667
1749,216.053333333333
570,139.086666666667
1711,216.716666666667
965,100.933333333333
465,196.84
817,133.9
199,195.056666666667
1302,322.58
1436,310.396666666667
1176,278.056666666667
1903,228.943333333333
904,150.906666666667
771,123.35
1454,294.79
1469,284.54
1832,236.156666666667
712,108.13
727,123.613333333333
43,190.173333333333
274,200.11
1523,246.13
101,190.903333333333
